date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-10-03,Capital Metro,Baltimore,first class,74.49,81.19375,86.09283582089552
2020-10-03,Capital Metro,Baltimore,marketing,82.33,84.29875,89.24208955223881
2020-10-03,Capital Metro,Baltimore,periodical,67.08,72.84,78.80641791044776
2020-10-10,Capital Metro,Baltimore,first class,65.5,79.9625,85.7068656716418
2020-10-10,Capital Metro,Baltimore,marketing,74.83,80.46875,86.79537313432836
2020-10-10,Capital Metro,Baltimore,periodical,70.46,68.55875,77.79492537313433
2020-10-17,Capital Metro,Baltimore,first class,53.48,71.7675,81.02850746268656
2020-10-17,Capital Metro,Baltimore,marketing,76.38,79.06,87.537761194029855
2020-10-17,Capital Metro,Baltimore,periodical,55.16,68.69500000000001,74.85313432835821
2020-10-24,Capital Metro,Baltimore,first class,57.17,73.3275,81.72880597014925
2020-10-24,Capital Metro,Baltimore,marketing,74.39,74.75874999999999,86.49582089552239
2020-10-24,Capital Metro,Baltimore,periodical,47.99,62.90875,75.62328358208956
2020-10-31,Capital Metro,Baltimore,first class,69.01,77.69500000000001,84.71164179104478
2020-10-31,Capital Metro,Baltimore,marketing,76.93,72.55,84.98910447761195
2020-10-31,Capital Metro,Baltimore,periodical,60.5,64.4075,76.0223880597015
2020-01-04,Capital Metro,Capital,first class,85.55,90.01375,91.52223880597015
2020-01-04,Capital Metro,Capital,marketing,90.55,86.47125,91.10417910447761
2020-01-04,Capital Metro,Capital,periodical,75.82,83.42,84.79970149253731
2020-01-11,Capital Metro,Capital,first class,87.08,89.83125,91.32611940298507
2020-01-11,Capital Metro,Capital,marketing,84.24,82.36749999999999,88.92641791044777
2020-01-11,Capital Metro,Capital,periodical,78.84,83.24000000000001,84.77776119402985
2020-01-18,Capital Metro,Capital,first class,89.89,91.565,92.84149253731343
2020-01-18,Capital Metro,Capital,marketing,87.11,85.39,89.35925373134329
2020-01-18,Capital Metro,Capital,periodical,85.3,86.37875,86.83358208955224
2020-01-25,Capital Metro,Capital,first class,88.29,90.3075,90.87194029850747
2020-01-25,Capital Metro,Capital,marketing,91.06,88.81125,91.74611940298507
2020-01-25,Capital Metro,Capital,periodical,79.31,85.99375,87.02731343283583
2020-02-01,Capital Metro,Capital,first class,87.82,89.87625,90.80268656716417
2020-02-01,Capital Metro,Capital,marketing,90.08,86.505,90.1579104477612
2020-02-01,Capital Metro,Capital,periodical,85.54,85.23375,87.08328358208955
2020-02-08,Capital Metro,Capital,first class,88.71,91.4775,91.89029850746269
2020-02-08,Capital Metro,Capital,marketing,91.03,89.54125,91.76835820895522
2020-02-08,Capital Metro,Capital,periodical,85,87.35249999999999,88.17701492537313
2020-02-15,Capital Metro,Capital,first class,91.57,93.24625,93.73283582089552
2020-02-15,Capital Metro,Capital,marketing,90.28,88.27,91.66597014925374
2020-02-15,Capital Metro,Capital,periodical,85.44,87.445,88.09074626865672
2020-02-22,Capital Metro,Capital,first class,90.82,92.09125,92.73044776119403
2020-02-22,Capital Metro,Capital,marketing,92.49,91.075,93.13537313432836
2020-02-22,Capital Metro,Capital,periodical,85.6,86.135,86.80835820895523
