date,area,district,mail_type,pct_on_time
2020-02-08,Pacific,NA,marketing,91.83
2020-02-08,Pacific,NA,periodical,87.96
2020-02-15,Pacific,NA,first_class,94.29
2020-02-15,Pacific,NA,marketing,93.61
2020-02-15,Pacific,NA,periodical,91.85
2020-02-22,Pacific,NA,first_class,93.78
2020-02-22,Pacific,NA,marketing,95.1
2020-02-22,Pacific,NA,periodical,89.31
2020-02-29,Pacific,NA,first_class,93.69
2020-02-29,Pacific,NA,marketing,92.77
2020-02-29,Pacific,NA,periodical,84.15
2020-03-07,Pacific,NA,first_class,93.49
2020-03-07,Pacific,NA,marketing,93.46
2020-03-07,Pacific,NA,periodical,87.32
2020-03-14,Pacific,NA,first_class,92.64
2020-03-14,Pacific,NA,marketing,93.28
2020-03-14,Pacific,NA,periodical,87.73
2020-03-21,Pacific,NA,first_class,93.54
2020-03-21,Pacific,NA,marketing,94.51
